,ngram,count,sentence_index,sentences
78,"('threat', 'reduction', 'program')",4,"{(5, 48), (5, 15), (5, 37), (5, 2)}","{""Of course, Dick has been there and he has done that, and thanks to the Cooperative Threat Reduction Programs he co-founded with Senator Sam Nunn, we've made amazing progress in finding, securing, and guarding some of the deadliest weapons that were left scattered throughout the former Soviet Union after the Cold War."", 'I want to turn to a second critical area: biological weapons threat reduction programs.', 'Now, few people understand these challenges better than the co-founder of the Cooperative Threat Reduction Program, Dick Lugar, and this is something that became particularly clear to me during one incident on the trip.', 'And the Kiev story is heading in the right direction - while we were in Ukraine, Dick, through his tireless and personal intervention, was able to achieve a breakthrough with that government, bringing that facility and others under the Cooperative Threat Reduction program.'}"
31,"('say', 'party')",4,"{(2, 121), (2, 116), (2, 118), (2, 126)}","{'So let it be said that we are the party of opportunity.', 'Let it be said that we are the party of affordable, accessible health care for all Americans.', ""And let it be said that we are the party of open, honest government that doesn't peddle the agenda of whichever lobbyist or special interest can write the biggest check."", 'Let it be said that we are the party of an energy independent America.'}"
77,"('reduction', 'program')",4,"{(5, 48), (5, 15), (5, 37), (5, 2)}","{""Of course, Dick has been there and he has done that, and thanks to the Cooperative Threat Reduction Programs he co-founded with Senator Sam Nunn, we've made amazing progress in finding, securing, and guarding some of the deadliest weapons that were left scattered throughout the former Soviet Union after the Cold War."", 'I want to turn to a second critical area: biological weapons threat reduction programs.', 'Now, few people understand these challenges better than the co-founder of the Cooperative Threat Reduction Program, Dick Lugar, and this is something that became particularly clear to me during one incident on the trip.', 'And the Kiev story is heading in the right direction - while we were in Ukraine, Dick, through his tireless and personal intervention, was able to achieve a breakthrough with that government, bringing that facility and others under the Cooperative Threat Reduction program.'}"
32,"('let', 'say', 'party')",4,"{(2, 121), (2, 116), (2, 118), (2, 126)}","{'So let it be said that we are the party of opportunity.', 'Let it be said that we are the party of affordable, accessible health care for all Americans.', ""And let it be said that we are the party of open, honest government that doesn't peddle the agenda of whichever lobbyist or special interest can write the biggest check."", 'Let it be said that we are the party of an energy independent America.'}"
41,"('african', 'nation')",4,"{(3, 40), (3, 37), (3, 53), (3, 32)}","{'Among African nations, Kenya remains a model for representative democracy - a place where many different ethnic factions have found a way to live and work together in peace and stability.', 'As a result, many African nations have been asked to liberalize their markets without reciprocal concessions from mature economies.', 'Kenya, like many African nations did not come of age under the best historical circumstances.', 'When African nations were just gaining independence, industrialized nations had decades of experience building their domestic economies and navigating the international financial system.'}"
30,"('go', 'keep')",4,"{(2, 45)}","{""Who said we're going to keep on dreaming, and we're going to keep on building, and we're going to keep on marching, and we're going to keep on working because that's who we are.""}"
3,"('tell', 'us')",4,"{(0, 119), (0, 120), (0, 121), (0, 123)}","{'He tells us that there is power in words.', 'He tells us that there is power in hope.', 'But the life of a tall, gangly, self-made Springfield lawyer tells us that a different future is possible.', 'He tells us that there is power in conviction.'}"
15,"('american', 'promise')",4,"{(1, 204), (1, 9), (1, 21), (1, 224)}","{'Instead, it is that American spirit - that American promise - that pushes us forward even when the path is uncertain; that binds us together in spite of our differences; that makes us fix our eye not on what is seen, but what is unseen, that better place around the bend.', 'We meet at one of those defining moments - a moment when our nation is at war, our economy is in turmoil, and the American promise has been threatened once more.', 'This moment - this election - is our chance to keep, in the 21st century, the American promise alive.', 'Let us keep that promise - that American promise - and in the words of Scripture hold firmly, without wavering, to the hope that we confess.'}"
14,"('men', 'woman')",4,"{(1, 208), (1, 8), (1, 66), (1, 156)}","{'When I listen to another worker tell me that his factory has shut down, I remember all those men and women on the South Side of Chicago who I stood by and fought for two decades ago after the local steel plant closed.', 'The men and women who serve in our battlefields may be Democrats and Republicans and Independents, but they have fought together and bled together and some died together under the same proud flag.', ""The men and women who gathered there could've heard many things."", 'Because for two hundred and thirty two years, at each moment when that promise was in jeopardy, ordinary men and women - students and soldiers, farmers and teachers, nurses and janitors -- found the courage to keep it alive.'}"
16,"('america', 'promise')",4,"{(1, 124), (1, 119), (1, 125), (1, 169)}","{""And Democrats, we must also admit that fulfilling America's promise will require more than just money."", ""Individual responsibility and mutual responsibility - that's the essence of America's promise."", ""This too is part of America's promise - the promise of a democracy where we can find the strength and grace to bridge divides and unite in common effort."", ""And just as we keep our keep our promise to the next generation here at home, so must we keep America's promise abroad.""}"
2,"('health', 'care')",4,"{(0, 85), (0, 53), (0, 83), (0, 129)}","{""Let's be the generation that finally tackles our health care crisis."", ""For the last six years we've been told that our mounting debts don't matter, we've been told that the anxiety Americans feel about rising health care costs and stagnant wages are an illusion, we've been told that climate change is a hoax, and that tough talk and an ill-conceived war can replace diplomacy, and strategy, and foresight."", 'I want to win that next battle - for better schools, and better jobs, and health care for all.', ""Let's be the generation that says right here, right now, that we will have universal health care in America by the end of the next president's first term.""}"
4,"('one', 'people')",3,"{(0, 46), (0, 122), (0, 5)}","{'That beneath all the differences of race and region, faith and station, we are one people.', 'It is because men and women of every race, from every walk of life, continued to march for freedom long after Lincoln was laid to rest, that today we have the chance to face the challenges of this millennium together, as one people - as Americans.', ""In the face of a politics that's shut you out, that's told you to settle, that's divided us for too long, you believe we can be one people, reaching for what's possible, building that more perfect union.""}"
60,"('iraq', 'would')",3,"{(4, 28), (4, 29), (4, 115)}","{'We would make clear in such a scenario that the United States would not be maintaining permanent military bases in Iraq, but would do what was necessary to help prevent a total collapse of the Iraqi state and further polarization of Iraqi society.', 'The notion that Iraq would quickly and easily become a bulwark of flourishing democracy in the Middle East was not a plan for victory, but an ideological fantasy.', 'I said then and believe now that Saddam Hussein was a ruthless dictator who craved weapons of mass destruction but posed no imminent threat to the United States; that a war in Iraq would harm, not help, our efforts to defeat al Qaeda and finish the job in Afghanistan; and that an invasion would require an occupation of undetermined length, at undetermined cost, with undetermined consequences.'}"
61,"('middle', 'east')",3,"{(4, 71), (4, 28), (4, 136)}","{'namely, preventing Iraq from becoming what Afghanistan once was, maintaining our influence in the Middle East, and forging a political settlement to stop the sectarian violence so that our troops can come home.', 'The notion that Iraq would quickly and easily become a bulwark of flourishing democracy in the Middle East was not a plan for victory, but an ideological fantasy.', 'Finally, we have to realize that the entire Middle East has an enormous stake in the outcome of Iraq, and we must engage neighboring countries in finding a solution.'}"
62,"('year', 'ago')",3,"{(4, 189), (4, 91), (4, 35)}","{'I spoke here a year ago and delivered a message about Iraq that was similar to the one I did today.', 'When I came here and gave a speech on this war a year ago, I suggested that we begin to move towards a phased redeployment of American troops from Iraqi soil.', 'When I first advocated steps along these lines over a year ago, I had hoped that this phased redeployment could begin by the end of 2006.'}"
63,"('sectarian', 'violence')",3,"{(4, 71), (4, 135), (4, 42)}","{'namely, preventing Iraq from becoming what Afghanistan once was, maintaining our influence in the Middle East, and forging a political settlement to stop the sectarian violence so that our troops can come home.', 'But we need to also move towards more condition-based aid packages where economic assistance is contingent upon the ability of Iraqis to make measurable progress on reducing sectarian violence and forging a lasting political settlement.', 'Sectarian violence has reached an all-time high, and 365,000 Iraqis have fled their homes since the bombing of a Shia mosque in Samarra last February.'}"
64,"('security', 'force')",3,"{(4, 43), (4, 117), (4, 126)}","{'The security forces have to be far more inclusive ?', 'The second part of our strategy should be to couple this phased redeployment with a more effective plan that puts the Iraqi security forces in the lead, intensifies and focuses our efforts to train those forces, and expands the numbers of our personnel ?', '300,000 Iraqi security forces have supposedly been recruited and trained over the last two years, and yet American troop levels have not been reduced by a single soldier.'}"
65,"('troop', 'level')",3,"{(4, 43), (4, 102), (4, 74)}","{'It’s not clear that these troop levels are sustainable for a significant period of time, and according to our commanders on the ground, adding American forces will only relieve the Iraqis from doing more on their own.', 'The redeployment could be temporarily suspended if the parties in Iraq reach an effective political arrangement that stabilizes the situation and they offer us a clear and compelling rationale for maintaining certain troop levels.', '300,000 Iraqi security forces have supposedly been recruited and trained over the last two years, and yet American troop levels have not been reduced by a single soldier.'}"
66,"('american', 'soldier')",3,"{(4, 49), (4, 45), (4, 77)}","{'“rejected the notion of an American ‘timeline’ for action on urgent Iraqi political issues; ordered American commanders to lift checkpoints they had set up around the Shiite district of Sadr City to hunt for a kidnapped American soldier and a fugitive Shiite death squad leader; and blamed the Americans for the deteriorating security situation in Iraq.”\nThis is now the reality of Iraq.', 'The American soldiers I met when I traveled to Iraq this year were performing their duties with bravery, with brilliance, and without question.', 'And polls show that almost two-thirds of all Iraqis now sympathize with attacks on American soldiers.'}"
67,"('political', 'settlement')",3,"{(4, 71), (4, 128), (4, 135)}","{'namely, preventing Iraq from becoming what Afghanistan once was, maintaining our influence in the Middle East, and forging a political settlement to stop the sectarian violence so that our troops can come home.', 'The third part of our strategy should be to link continued economic aid in Iraq with the existence of tangible progress toward a political settlement.', 'But we need to also move towards more condition-based aid packages where economic assistance is contingent upon the ability of Iraqis to make measurable progress on reducing sectarian violence and forging a lasting political settlement.'}"
68,"('part', 'strategy')",3,"{(4, 89), (4, 117), (4, 128)}","{'The first part of this strategy begins by exerting the greatest leverage we have on the Iraqi government ?', 'The second part of our strategy should be to couple this phased redeployment with a more effective plan that puts the Iraqi security forces in the lead, intensifies and focuses our efforts to train those forces, and expands the numbers of our personnel ?', 'The third part of our strategy should be to link continued economic aid in Iraq with the existence of tangible progress toward a political settlement.'}"
69,"('iraqi', 'faction')",3,"{(4, 112), (4, 142), (4, 93)}","{'The goal of this conference should be to get foreign fighters out of Iraq, prevent a further descent into civil war, and push the various Iraqi factions towards a political solution.', 'For only through this phased redeployment can we send a clear message to the Iraqi factions that the U.S. is not going to hold together this country indefinitely ?', 'But only if U.S. commanders think such a force would be effective; if there is substantial movement towards a political solution among Iraqi factions; if the Iraqi government showed a serious commitment to disbanding the militias; and if the Iraqi government asked us ?'}"
70,"('iran', 'syria')",3,"{(4, 116), (4, 147), (4, 139)}","{'Such a reduced but active presence will also send a clear message to hostile countries like Iran and Syria that we intend to remain a key player in this region.', 'It is simply not productive for us not to engage in discussions with Iran and Syria on an issue of such fundamental importance to all of us.', 'But neither Iran nor Syria want to see a security vacuum in Iraq filled with chaos, terrorism, refugees, and violence, as it could have a destabilizing effect throughout the entire region ?'}"
58,"('clear', 'message')",3,"{(4, 116), (4, 93), (4, 14)}","{'Such a reduced but active presence will also send a clear message to hostile countries like Iran and Syria that we intend to remain a key player in this region.', 'For only through this phased redeployment can we send a clear message to the Iraqi factions that the U.S. is not going to hold together this country indefinitely ?', 'And now, after three long years of watching the same back and forth in Washington, the American people have sent a clear message that the days of using the war on terror as a political football are over.'}"
81,"('nuclear', 'weapon')",3,"{(5, 32), (5, 23), (5, 35)}","{'In a way that balances the needs of science and security, more needs to be done to bring these materials - as well as other sources that can be used to construct improvised nuclear weapons and radiological devices -- under control and dramatically reduce the proliferation threat they pose.', 'Fortunately, the success of Cooperative Threat Reduction - especially in securing nuclear weapons - serves as a model of how we can do this.', 'Many of these aging research facilities have the largest, least secure quantities of highly enriched uranium in the world - the quickest way to a nuclear weapon.'}"
80,"('cooperative', 'threat', 'reduction', 'program')",3,"{(5, 48), (5, 15), (5, 2)}","{""Of course, Dick has been there and he has done that, and thanks to the Cooperative Threat Reduction Programs he co-founded with Senator Sam Nunn, we've made amazing progress in finding, securing, and guarding some of the deadliest weapons that were left scattered throughout the former Soviet Union after the Cold War."", 'Now, few people understand these challenges better than the co-founder of the Cooperative Threat Reduction Program, Dick Lugar, and this is something that became particularly clear to me during one incident on the trip.', 'And the Kiev story is heading in the right direction - while we were in Ukraine, Dick, through his tireless and personal intervention, was able to achieve a breakthrough with that government, bringing that facility and others under the Cooperative Threat Reduction program.'}"
7,"('tell', 'us', 'power')",3,"{(0, 120), (0, 121), (0, 123)}","{'He tells us that there is power in words.', 'He tells us that there is power in hope.', 'He tells us that there is power in conviction.'}"
6,"('us', 'power')",3,"{(0, 120), (0, 121), (0, 123)}","{'He tells us that there is power in words.', 'He tells us that there is power in hope.', 'He tells us that there is power in conviction.'}"
5,"('work', 'together')",3,"{(0, 92), (0, 70), (0, 94)}","{'We can work together to track terrorists down with a stronger military, we can tighten the net around their finances, and we can improve our intelligence capabilities.', 'Let us begin this hard work together.', ""Politics doesn't have to divide us on this anymore - we can work together to keep our country safe.""}"
59,"('send', 'clear', 'message')",3,"{(4, 116), (4, 93), (4, 14)}","{'Such a reduced but active presence will also send a clear message to hostile countries like Iran and Syria that we intend to remain a key player in this region.', 'For only through this phased redeployment can we send a clear message to the Iraqi factions that the U.S. is not going to hold together this country indefinitely ?', 'And now, after three long years of watching the same back and forth in Washington, the American people have sent a clear message that the days of using the war on terror as a political football are over.'}"
57,"('send', 'clear')",3,"{(4, 116), (4, 93), (4, 14)}","{'Such a reduced but active presence will also send a clear message to hostile countries like Iran and Syria that we intend to remain a key player in this region.', 'For only through this phased redeployment can we send a clear message to the Iraqi factions that the U.S. is not going to hold together this country indefinitely ?', 'And now, after three long years of watching the same back and forth in Washington, the American people have sent a clear message that the days of using the war on terror as a political football are over.'}"
33,"('civil', 'right')",3,"{(2, 39), (2, 17), (2, 35)}","{'You teach law school, you\'re a civil rights attorney, you organize voter registration, you\'re a family man - why would you wanna go into something dirty and nasty like politics?""', 'And when she finally she saw hope breaking through the horizon in the Civil Rights Movement, she thought, ""Maybe it\'s my turn.""', 'And at last - at last - she saw the passage of the Civil Rights Act and the Voting Rights Act.'}"
44,"('kenyan', 'people')",3,"{(3, 85), (3, 86), (3, 105)}","{'The Kenyan people are the ultimate guardians against abuses.', ""Today, we're starting to see that the Kenyan people want more than a simple changing of the guard, more than piecemeal reforms to a crisis that's crippling their country."", ""The Kenyan people are crying out for real change, and whether one voted orange or banana in last year's referendum, the message that many Kenyans seemed to be sending was one of dissatisfaction with the pace of reform, and real frustration with continued tolerance of corruption at high levels.""}"
34,"('ca', 'afford')",3,"{(2, 62), (2, 74), (2, 120)}","{""That if you give a speech where you rattle off statistics about the stock market being up and orders for durable goods being on the rise, no one will notice the single mom whose two jobs won't pay the bills or the student who can't afford his college dreams."", ""The party that won't just throw a few tax breaks at families who can't afford their insurance, but modernizes our health care system and gives every family a chance to buy insurance at a price they can afford."", ""I've had enough of being told that we can't afford body armor for our troops and health care for our veterans and benefits for the wounded heroes who've risked their lives for this country.""}"
35,"('tell', 'ca')",3,"{(2, 76), (2, 73), (2, 74)}","{""I've had enough of the closed-door deals that give billions to the HMOs when we're told that we can't do a thing for the 45 million uninsured or the millions more who can't pay their medical bills."", ""I've had enough of being told that we can't afford body armor for our troops and health care for our veterans and benefits for the wounded heroes who've risked their lives for this country."", ""I've had enough of giving billions away to the oil companies when we're told that we can't invest in the renewable energy that will create jobs and lower gas prices and finally free us from our dependence on the oil wells of Saudi Arabia.""}"
36,"('us', 'say')",3,"{(2, 93), (2, 91), (2, 92)}","{""It allows us to say to the child who didn't have the foresight to choose the right parents or be born in the right suburb - pick yourself up by your bootstraps."", ""It lets us say to the guy who worked twenty or thirty years in the factory and then watched his plant move out to Mexico or China - we're sorry, but you're on your own."", ""It allows us to say to those whose health care or tuition may rise faster than they can afford - life isn't fair.""}"
37,"('high', 'school')",3,"{(2, 117), (2, 135)}","{""At one point, Kozol tells about his trip to Fremont High School in Los Angeles, where he met a girl who tells him that she'd taken hairdressing twice, because there were actually two different levels offered by the high school."", ""That in a global economy that's more connected and more competitive - we are the party that will guarantee every American an affordable, world-class, top-notch, life-long education - from early childhood to high school, from college to on-the-job training.""}"
38,"('say', 'time')",3,"{(2, 158), (2, 159), (2, 160)}","{'And then someday, someday, if our kids get the chance to stand where we are and look back at the beginning of the 21st century, they can say that this was the time when America renewed its purpose.', 'They can say that this was the time when America learned to dream again.', 'They can say that this was the time when America found its way.'}"
39,"('time', 'america')",3,"{(2, 158), (2, 159), (2, 160)}","{'And then someday, someday, if our kids get the chance to stand where we are and look back at the beginning of the 21st century, they can say that this was the time when America renewed its purpose.', 'They can say that this was the time when America learned to dream again.', 'They can say that this was the time when America found its way.'}"
40,"('say', 'time', 'america')",3,"{(2, 158), (2, 159), (2, 160)}","{'And then someday, someday, if our kids get the chance to stand where we are and look back at the beginning of the 21st century, they can say that this was the time when America renewed its purpose.', 'They can say that this was the time when America learned to dream again.', 'They can say that this was the time when America found its way.'}"
27,"('turn', 'back')",3,"{(1, 221), (1, 215), (1, 216)}","{'America, we cannot turn back.', 'We cannot turn back.""'}"
42,"('story', 'father')",3,"{(3, 121), (3, 11)}","{""And most importantly for me, I discovered the story of my father's life, and the story of his father before him."", 'I know from these stories that my father was not a perfect man - that he made his share of mistakes and disappointed his share of people in his lifetime.'}"
43,"('african', 'continent')",3,"{(3, 29), (3, 20), (3, 22)}","{'But for all the progress that has been made, we must surely acknowledge that neither Kenya nor the African continent have yet fulfilled their potential - that the hopefulness of the post-colonial era has been replaced by cynicism and sometimes despair, and that true freedom has not yet been won for those struggling to live on less than a few shillings a day, for those who have fallen prey to HIV/AIDS or malaria, to those ordinary citizens who continue to find themselves trapped in the crossfire of war or ethnic conflict.', 'And we know how much this land is blessed - just as the entire African continent is blessed - with great gifts and riches.', ""In many ways, then, my family's life reflects some of the contradictions of Kenya, and indeed, the African continent as a whole.""}"
26,"('make', 'us')",3,"{(1, 204), (1, 201), (1, 202)}","{""We have the most powerful military on Earth, but that's not what makes us strong."", 'Instead, it is that American spirit - that American promise - that pushes us forward even when the path is uncertain; that binds us together in spite of our differences; that makes us fix our eye not on what is seen, but what is unseen, that better place around the bend.', ""This country of ours has more wealth than any nation, but that's not what makes us rich.""}"
56,"('go', 'war')",3,"{(4, 150), (4, 107), (4, 12)}","{'The President’s decision to go to war in Iraq has had disastrous consequences for Afghanistan -- we have seen a fierce Taliban offensive, a spike in terrorist attacks, and a narcotrafficking problem spiral out of control.', 'Many who supported the original decision to go to war in Iraq have argued that it has been a failure of implementation.', 'Americans were originally persuaded by the President to go to war in part because of the threat of weapons of mass destruction, and in part because they were told that it would help reduce the threat of international terrorism.'}"
25,"('promise', 'say')",3,"{(1, 79), (1, 77), (1, 78)}","{'Ours is a promise that says government cannot solve all our problems, but what it should do is that which we cannot do for ourselves - protect us from harm and provide every child a decent education; keep our water clean and our toys safe; invest in new schools and new roads and new science and technology.', ""It's a promise that says each of us has the freedom to make of our own lives what we will, but that we also have the obligation to treat each other with dignity and respect."", ""It's a promise that says the market should reward drive and innovation and generate growth, but that businesses should live up to their responsibilities to create American jobs, look out for American workers, and play by the rules of the road.""}"
24,"('promise', 'make')",3,"{(1, 63), (1, 206)}","{'The fundamentals we use to measure economic strength are whether we are living up to that fundamental promise that has made this country great - a promise that is the only reason I am standing here tonight.', ""It's a promise I make to my daughters when I tuck them in at night, and a promise that you make to yours - a promise that has led immigrants to cross oceans and pioneers to travel west; a promise that led workers to picket lines, and women to reach for the ballot.""}"
23,"('plan', 'would')",3,"{(1, 45)}","{""How else could he offer a health care plan that would actually tax people's benefits, or an education plan that would do nothing to help families pay for college, or a plan that would privatize Social Security and gamble your retirement?""}"
22,"('american', 'people')",3,"{(1, 190), (1, 20), (1, 100)}","{'Tonight, I say to the American people, to Democrats and Republicans and Independents across this great land - enough!', 'Change happens because the American people demand it - because they rise up and insist on new ideas and new leadership, a new politics for a new time.', ""I'll make it easier for the American people to afford these new cars.""}"
21,"('work', 'hard')",3,"{(1, 39), (1, 36), (1, 10)}","{'Tell that to the proud auto workers at a Michigan plant who, after they found out it was closing, kept showing up every day and working as hard as ever, because they knew there were people who counted on the brakes that they made.', 'Tonight, more Americans are out of work and more are working harder for less.', 'They work hard and give back and keep going without complaint.'}"
20,"('stand', 'tonight')",3,"{(1, 63), (1, 7), (1, 183)}","{'The fundamentals we use to measure economic strength are whether we are living up to that fundamental promise that has made this country great - a promise that is the only reason I am standing here tonight.', 'But I stand before you tonight because all across America something is stirring.', ""That's why I stand here tonight.""}"
19,"('next', 'generation')",3,"{(1, 101), (1, 6), (1, 125)}","{'It is that promise that has always set this country apart - that through hard work and sacrifice, each of us can pursue our individual dreams but still come together as one American family, to ensure that the next generation can pursue their dreams as well.', ""And I'll invest 150 billion dollars over the next decade in affordable, renewable sources of energy - wind power and solar power and the next generation of biofuels; an investment that will lead to new industries and five million new jobs that pay well and can't ever be outsourced."", ""And just as we keep our keep our promise to the next generation here at home, so must we keep America's promise abroad.""}"
18,"('hard', 'work')",3,"{(1, 17), (1, 6), (1, 68)}","{'It is that promise that has always set this country apart - that through hard work and sacrifice, each of us can pursue our individual dreams but still come together as one American family, to ensure that the next generation can pursue their dreams as well.', 'This country is more decent than one where a woman in Ohio, on the brink of retirement, finds herself one illness away from disaster after a lifetime of hard work.', ""She's the one who taught me about hard work.""}"
17,"('united', 'state')",3,"{(1, 225), (1, 2), (1, 157)}","{'They have not served a Red America or a Blue America - they have served the United States of America.', 'Thank you, and God Bless the United States of America.', 'To President Clinton, who last night made the case for change as only he can make it; to Ted Kennedy, who embodies the spirit of service; and to the next Vice President of the United States, Joe Biden, I thank you.'}"
55,"('united', 'state')",3,"{(4, 6), (4, 29), (4, 115)}","{'We would make clear in such a scenario that the United States would not be maintaining permanent military bases in Iraq, but would do what was necessary to help prevent a total collapse of the Iraqi state and further polarization of Iraqi society.', 'I said then and believe now that Saddam Hussein was a ruthless dictator who craved weapons of mass destruction but posed no imminent threat to the United States; that a war in Iraq would harm, not help, our efforts to defeat al Qaeda and finish the job in Afghanistan; and that an invasion would require an occupation of undetermined length, at undetermined cost, with undetermined consequences.', 'And this has been true for those of us who looked on the rubble and ashes of 9/11, and made a solemn pledge that such an atrocity would never again happen on United States soil; that we would do whatever it took to hunt down those responsible, and use every tool at our disposal ?'}"
82,"('proliferation', 'threat')",3,"{(5, 49), (5, 29), (5, 35)}","{'First, the Nunn-Lugar program should be more engaged in containing proliferation threats from Soviet-supplied, civilian research reactors throughout Russia and the Independent States.', 'But because of the size, secrecy, and scope of the Soviet biological weapons program, we are still dangerously behind in dealing with this proliferation threat.', 'In a way that balances the needs of science and security, more needs to be done to bring these materials - as well as other sources that can be used to construct improvised nuclear weapons and radiological devices -- under control and dramatically reduce the proliferation threat they pose.'}"
